Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2020,3,Southern Tier,Chenango,"1,000","1,110,000"
2020,3,North Country,Clinton,"2,200","1,880,000"
2020,3,Capital,Columbia,800,"800,000"
2020,3,Central New York,Cortland,"1,200","1,330,000"
2020,3,Southern Tier,Delaware,700,"710,000"
2020,3,Hudson Valley,Dutchess,"4,800","4,260,000"
2020,3,Western New York,Erie,"25,600","20,170,000"
2020,3,North Country,Essex,900,"830,000"
2020,3,North Country,Franklin,"1,000","970,000"
2020,3,Mohawk Valley,Fulton,"1,100","1,050,000"
2020,3,Finger Lakes,Genesee,"1,600","1,380,000"
2020,3,Capital,Greene,"1,100","900,000"
2020,3,North Country,Hamilton,100,"150,000"
2020,3,Mohawk Valley,Herkimer,"1,800","1,650,000"
2020,3,North Country,Jefferson,"2,900","2,660,000"
2020,3,New York City,Kings,"46,400","43,300,000"
2020,3,North Country,Lewis,700,"850,000"
2020,3,Finger Lakes,Livingston,"1,700","1,470,000"
2020,3,Central New York,Madison,"1,600","1,540,000"
2020,3,Finger Lakes,Monroe,"16,300","13,070,000"
2020,3,Mohawk Valley,Montgomery,"1,400","1,420,000"
2020,3,Long Island,Nassau,"22,000","20,060,000"
2020,3,New York City,New York,"29,100","28,840,000"
2020,3,Western New York,Niagara,"7,900","6,120,000"
2020,3,Mohawk Valley,Oneida,"4,400","3,670,000"
2020,3,Central New York,Onondaga,"9,700","7,900,000"
2020,3,Finger Lakes,Ontario,"2,500","2,170,000"
2020,3,Hudson Valley,Orange,"6,400","5,750,000"
2020,3,Finger Lakes,Orleans,"1,000","850,000"
2020,3,Central New York,Oswego,"3,100","2,950,000"
2020,3,Mohawk Valley,Otsego,"1,400","1,320,000"
2020,3,Out-of-State Resident,Out-of-State,"25,000","31,430,000"
2020,3,Hudson Valley,Putnam,"1,600","1,520,000"
2020,3,New York City,Queens,"41,000","36,880,000"
2020,3,Capital,Rensselaer,"3,100","2,820,000"
2020,3,New York City,Richmond,"7,600","6,820,000"
2020,3,Hudson Valley,Rockland,"3,800","3,450,000"
2020,3,Capital,Saratoga,"4,600","3,790,000"
2020,3,Capital,Schenectady,"3,100","2,650,000"
2020,3,Mohawk Valley,Schoharie,700,"750,000"
2020,3,Southern Tier,Schuyler,500,"510,000"
2020,3,Finger Lakes,Seneca,700,"650,000"
2020,3,Southern Tier,Steuben,"2,400","1,990,000"
2020,3,North Country,St. Lawrence,"2,200","2,110,000"
2020,3,Long Island,Suffolk,"31,600","29,350,000"
2020,3,Hudson Valley,Sullivan,"1,400","1,360,000"
2020,3,Southern Tier,Tioga,"1,000","970,000"
2020,3,Southern Tier,Tompkins,"1,400","1,060,000"
2020,3,Hudson Valley,Ulster,"3,600","3,040,000"
2020,3,Unknown Geography,Unknown,100,"200,000"
2020,3,Capital,Warren,"2,000","1,770,000"
2020,3,Capital,Washington,"1,300","1,160,000"
2020,3,Finger Lakes,Wayne,"2,000","1,990,000"
2020,3,Hudson Valley,Westchester,"14,500","14,130,000"
2020,3,Finger Lakes,Wyoming,"1,200","1,140,000"
2020,3,Finger Lakes,Yates,600,"480,000"
2020,2,Capital,Albany,"2,100","2,350,000"
2020,2,Western New York,Allegany,500,"630,000"
2020,2,New York City,Bronx,"15,200","15,960,000"
2020,2,Southern Tier,Broome,"2,000","2,450,000"
2020,2,Western New York,Cattaraugus,"1,200","1,420,000"
2020,2,Central New York,Cayuga,900,"1,060,000"
2020,2,Western New York,Chautauqua,"1,600","1,660,000"
2020,2,Southern Tier,Chemung,800,"750,000"
2020,2,Southern Tier,Chenango,700,"850,000"
2020,2,North Country,Clinton,"1,300","1,250,000"
2020,2,Capital,Columbia,500,"530,000"
2020,2,Central New York,Cortland,700,"970,000"
2020,2,Southern Tier,Delaware,500,"560,000"
2020,2,Hudson Valley,Dutchess,"2,000","2,500,000"
2020,2,Western New York,Erie,"10,500","11,510,000"
2020,2,North Country,Essex,500,"530,000"
2020,2,North Country,Franklin,600,"640,000"
2020,2,Mohawk Valley,Fulton,600,"700,000"
2020,2,Finger Lakes,Genesee,800,"940,000"
2020,2,Capital,Greene,500,"600,000"
2020,2,North Country,Hamilton,100,"100,000"
2020,2,Mohawk Valley,Herkimer,"1,000","1,100,000"
2020,2,North Country,Jefferson,"1,700","1,840,000"
2020,2,New York City,Kings,"21,300","23,990,000"
2020,2,North Country,Lewis,500,"660,000"
2020,2,Finger Lakes,Livingston,800,"960,000"
2020,2,Central New York,Madison,900,"1,040,000"
2020,2,Finger Lakes,Monroe,"7,200","7,610,000"
2020,2,Mohawk Valley,Montgomery,900,"1,070,000"
2020,2,Long Island,Nassau,"10,200","11,890,000"
2020,2,New York City,New York,"12,900","15,800,000"
2020,2,Western New York,Niagara,"3,400","3,540,000"
2020,2,Mohawk Valley,Oneida,"2,200","2,350,000"
2020,2,Central New York,Onondaga,"4,100","4,630,000"
2020,2,Finger Lakes,Ontario,"1,200","1,350,000"
2020,2,Hudson Valley,Orange,"2,800","3,440,000"
2020,2,Finger Lakes,Orleans,500,"570,000"
2020,2,Central New York,Oswego,"1,900","2,220,000"
2020,2,Mohawk Valley,Otsego,800,"940,000"
2020,2,Out-of-State Resident,Out-of-State,"15,100","21,510,000"
2020,2,Hudson Valley,Putnam,700,"930,000"
2020,2,New York City,Queens,"16,300","19,010,000"
2020,2,Capital,Rensselaer,"1,500","1,800,000"
2020,2,New York City,Richmond,"3,700","4,100,000"
2020,2,Hudson Valley,Rockland,"1,900","2,130,000"
2020,2,Capital,Saratoga,"1,800","2,110,000"
2020,2,Capital,Schenectady,"1,500","1,600,000"
2020,2,Mohawk Valley,Schoharie,500,"610,000"
2020,2,Southern Tier,Schuyler,300,"340,000"
2020,2,Finger Lakes,Seneca,400,"460,000"
2020,2,Southern Tier,Steuben,"1,100","1,270,000"
2020,2,North Country,St. Lawrence,"1,300","1,410,000"
2020,2,Long Island,Suffolk,"16,200","18,900,000"
2020,2,Hudson Valley,Sullivan,800,"960,000"
2020,2,Southern Tier,Tioga,600,"660,000"
2020,2,Southern Tier,Tompkins,500,"610,000"
2020,2,Hudson Valley,Ulster,"1,500","1,760,000"
2020,2,Unknown Geography,Unknown,100,"140,000"
2020,2,Capital,Warren,"1,000","1,000,000"
2020,2,Capital,Washington,700,"770,000"
2020,2,Finger Lakes,Wayne,"1,200","1,420,000"
2020,2,Hudson Valley,Westchester,"7,100","8,540,000"
2020,2,Finger Lakes,Wyoming,700,"830,000"
2020,2,Finger Lakes,Yates,300,"320,000"
2020,1,Capital,Albany,"2,300","2,460,000"
2020,1,Western New York,Allegany,600,"680,000"
2020,1,New York City,Bronx,"15,100","16,030,000"
2020,1,Southern Tier,Broome,"2,200","2,460,000"
2020,1,Western New York,Cattaraugus,"1,300","1,450,000"
2020,1,Central New York,Cayuga,"1,000","1,080,000"
2020,1,Western New York,Chautauqua,"1,600","1,680,000"
2020,1,Southern Tier,Chemung,700,"770,000"
2020,1,Southern Tier,Chenango,700,"800,000"
2020,1,North Country,Clinton,"1,400","1,250,000"
2020,1,Capital,Columbia,500,"530,000"
2020,1,Central New York,Cortland,800,"1,020,000"
2020,1,Southern Tier,Delaware,500,"540,000"
2020,1,Hudson Valley,Dutchess,"2,100","2,520,000"
2020,1,Western New York,Erie,"10,900","11,680,000"
2020,1,North Country,Essex,500,"520,000"
2020,1,North Country,Franklin,600,"650,000"
2020,1,Mohawk Valley,Fulton,600,"640,000"
2020,1,Finger Lakes,Genesee,800,"940,000"
2020,1,Capital,Greene,600,"610,000"
2020,1,North Country,Hamilton,100,"90,000"
2020,1,Mohawk Valley,Herkimer,"1,000","1,080,000"
2020,1,North Country,Jefferson,"1,800","1,870,000"
2020,1,New York City,Kings,"21,300","24,590,000"
2020,1,North Country,Lewis,500,"670,000"
2020,1,Finger Lakes,Livingston,900,"980,000"
2020,1,Central New York,Madison,"1,000","1,110,000"
2020,1,Finger Lakes,Monroe,"7,500","7,760,000"
2020,1,Mohawk Valley,Montgomery,"1,000","1,040,000"
2020,1,Long Island,Nassau,"10,400","12,080,000"
2020,1,New York City,New York,"13,300","16,500,000"
2020,1,Western New York,Niagara,"3,700","3,550,000"
2020,1,Mohawk Valley,Oneida,"2,300","2,360,000"
2020,1,Central New York,Onondaga,"4,200","4,600,000"
2020,1,Finger Lakes,Ontario,"1,200","1,380,000"
2020,1,Hudson Valley,Orange,"3,300","3,590,000"
2020,1,Finger Lakes,Orleans,600,"610,000"
2020,1,Central New York,Oswego,"2,000","2,210,000"
2020,1,Mohawk Valley,Otsego,800,"910,000"
2020,1,Out-of-State Resident,Out-of-State,"15,600","22,140,000"
2020,1,Hudson Valley,Putnam,800,"960,000"
2020,1,New York City,Queens,"16,700","19,530,000"
2020,1,Capital,Rensselaer,"1,600","1,810,000"
2020,1,New York City,Richmond,"3,700","4,140,000"
2020,1,Hudson Valley,Rockland,"1,900","2,090,000"
2020,1,Capital,Saratoga,"1,900","2,170,000"
2020,1,Capital,Schenectady,"1,500","1,600,000"
2020,1,Mohawk Valley,Schoharie,500,"630,000"
2020,1,Southern Tier,Schuyler,300,"320,000"
2020,1,Finger Lakes,Seneca,400,"480,000"
2020,1,Southern Tier,Steuben,"1,200","1,230,000"
2020,1,North Country,St. Lawrence,"1,400","1,480,000"
2020,1,Long Island,Suffolk,"16,100","18,580,000"
2020,1,Hudson Valley,Sullivan,900,"920,000"
2020,1,Southern Tier,Tioga,500,"600,000"
2020,1,Southern Tier,Tompkins,600,"620,000"
2020,1,Hudson Valley,Ulster,"1,700","1,790,000"
2020,1,Unknown Geography,Unknown,100,"400,000"
2020,1,Capital,Warren,"1,000","1,070,000"
2020,1,Capital,Washington,700,"790,000"
2020,1,Finger Lakes,Wayne,"1,200","1,430,000"
2020,1,Hudson Valley,Westchester,"7,300","8,710,000"
2020,1,Finger Lakes,Wyoming,800,"860,000"
2020,1,Finger Lakes,Yates,300,"290,000"
2019,12,Capital,Albany,"2,000","2,380,000"
2019,12,Western New York,Allegany,600,"710,000"
2019,12,New York City,Bronx,"14,700","17,450,000"
2019,12,Southern Tier,Broome,"2,000","2,280,000"
2019,12,Western New York,Cattaraugus,"1,200","1,370,000"
2019,12,Central New York,Cayuga,900,"980,000"
2019,12,Western New York,Chautauqua,"1,500","1,650,000"
2019,12,Southern Tier,Chemung,700,"750,000"
2019,12,Southern Tier,Chenango,600,"730,000"
2019,12,North Country,Clinton,"1,300","1,140,000"
2019,12,Capital,Columbia,400,"500,000"
2019,12,Central New York,Cortland,700,"950,000"
2019,12,Southern Tier,Delaware,400,"470,000"
2019,12,Hudson Valley,Dutchess,"1,900","2,390,000"
2019,12,Western New York,Erie,"9,800","11,310,000"
2019,12,North Country,Essex,400,"530,000"
2019,12,North Country,Franklin,500,"620,000"
2019,12,Mohawk Valley,Fulton,500,"620,000"
2019,12,Finger Lakes,Genesee,800,"900,000"
2019,12,Capital,Greene,500,"560,000"
2019,12,North Country,Hamilton,100,"110,000"
2019,12,Mohawk Valley,Herkimer,900,"990,000"
2019,12,North Country,Jefferson,"1,600","1,880,000"
2019,12,New York City,Kings,"20,500","26,050,000"
2019,12,North Country,Lewis,500,"640,000"
2019,12,Finger Lakes,Livingston,800,"890,000"
2019,12,Central New York,Madison,800,"1,030,000"
2019,12,Finger Lakes,Monroe,"6,800","7,790,000"
2019,12,Mohawk Valley,Montgomery,800,"960,000"
2019,12,Long Island,Nassau,"9,000","11,540,000"
2019,12,New York City,New York,"12,600","17,260,000"
2019,12,Western New York,Niagara,"3,400","3,460,000"
2019,12,Mohawk Valley,Oneida,"2,100","2,260,000"
2019,12,Central New York,Onondaga,"3,600","4,390,000"
2019,12,Finger Lakes,Ontario,"1,100","1,310,000"
2019,12,Hudson Valley,Orange,"2,900","3,490,000"
2019,12,Finger Lakes,Orleans,700,"630,000"
2019,12,Central New York,Oswego,"1,800","2,080,000"
2019,12,Mohawk Valley,Otsego,700,"770,000"
2019,12,Out-of-State Resident,Out-of-State,"14,300","22,530,000"
2019,12,Hudson Valley,Putnam,700,"900,000"
2019,12,New York City,Queens,"15,700","20,300,000"
2019,12,Capital,Rensselaer,"1,400","1,570,000"
2019,12,New York City,Richmond,"3,700","4,370,000"
2019,12,Hudson Valley,Rockland,"1,700","1,960,000"
2019,12,Capital,Saratoga,"1,600","2,010,000"
2019,12,Capital,Schenectady,"1,300","1,520,000"
2019,12,Mohawk Valley,Schoharie,400,"510,000"
2019,12,Southern Tier,Schuyler,300,"300,000"
2019,12,Finger Lakes,Seneca,400,"440,000"
2019,12,Southern Tier,Steuben,"1,100","1,210,000"
2019,12,North Country,St. Lawrence,"1,300","1,410,000"
2019,12,Long Island,Suffolk,"13,700","16,910,000"
2019,12,Hudson Valley,Sullivan,800,"910,000"
2019,12,Southern Tier,Tioga,500,"590,000"
2019,12,Southern Tier,Tompkins,500,"550,000"
2019,12,Hudson Valley,Ulster,"1,500","1,610,000"
2019,12,Unknown Geography,Unknown,100,"300,000"
2019,12,Capital,Warren,"1,000","1,100,000"
2019,12,Capital,Washington,600,"720,000"
2019,12,Finger Lakes,Wayne,"1,100","1,410,000"
2019,12,Hudson Valley,Westchester,"6,300","8,360,000"
2019,12,Finger Lakes,Wyoming,700,"810,000"
2019,12,Finger Lakes,Yates,300,"270,000"
2019,11,Capital,Albany,"1,300","1,440,000"
2019,11,Western New York,Allegany,400,"400,000"
2019,11,New York City,Bronx,"11,700","12,870,000"
2019,11,Southern Tier,Broome,"1,300","1,200,000"
2019,11,Western New York,Cattaraugus,800,"740,000"
2019,11,Central New York,Cayuga,500,"500,000"
2019,11,Western New York,Chautauqua,"1,100","900,000"
2019,11,Southern Tier,Chemung,400,"410,000"
2019,11,Southern Tier,Chenango,400,"340,000"
2019,11,North Country,Clinton,900,"630,000"
2019,11,Capital,Columbia,200,"250,000"
2019,11,Central New York,Cortland,400,"450,000"
2019,11,Southern Tier,Delaware,300,"240,000"
2019,11,Hudson Valley,Dutchess,"1,200","1,460,000"
2019,11,Western New York,Erie,"6,900","6,810,000"
2019,11,North Country,Essex,300,"270,000"
2019,11,North Country,Franklin,400,"360,000"
2019,11,Mohawk Valley,Fulton,400,"330,000"
2019,11,Finger Lakes,Genesee,500,"460,000"
2019,11,Capital,Greene,300,"280,000"
2019,11,North Country,Hamilton,100,"70,000"
2019,11,Mohawk Valley,Herkimer,500,"500,000"
2019,11,North Country,Jefferson,"1,200","1,100,000"
2019,11,New York City,Kings,"16,600","19,740,000"
2019,11,North Country,Lewis,300,"260,000"
2019,11,Finger Lakes,Livingston,500,"430,000"
2019,11,Central New York,Madison,600,"490,000"
2019,11,Finger Lakes,Monroe,"5,000","5,040,000"
2019,11,Mohawk Valley,Montgomery,500,"500,000"
2019,11,Long Island,Nassau,"6,400","8,250,000"
2019,11,New York City,New York,"11,200","13,830,000"
2019,11,Western New York,Niagara,"2,200","1,970,000"
2019,11,Mohawk Valley,Oneida,"1,400","1,250,000"
2019,11,Central New York,Onondaga,"2,600","2,660,000"
2019,11,Finger Lakes,Ontario,700,"700,000"
2019,11,Hudson Valley,Orange,"1,800","2,200,000"
2019,11,Finger Lakes,Orleans,500,"380,000"
2019,11,Central New York,Oswego,"1,200","1,090,000"
2019,11,Mohawk Valley,Otsego,400,"350,000"
2019,11,Out-of-State Resident,Out-of-State,"12,200","16,930,000"
2019,11,Hudson Valley,Putnam,500,"610,000"
2019,11,New York City,Queens,"12,600","15,460,000"
2019,11,Capital,Rensselaer,800,"830,000"
2019,11,New York City,Richmond,"2,500","3,020,000"
2019,11,Hudson Valley,Rockland,"1,100","1,320,000"
2019,11,Capital,Saratoga,"1,100","1,190,000"
2019,11,Capital,Schenectady,900,"910,000"
2019,11,Mohawk Valley,Schoharie,200,"200,000"
2019,11,Southern Tier,Schuyler,200,"170,000"
2019,11,Finger Lakes,Seneca,200,"210,000"
2019,11,Southern Tier,Steuben,700,"650,000"
2019,11,North Country,St. Lawrence,800,"690,000"
2019,11,Long Island,Suffolk,"8,400","10,150,000"
2019,11,Hudson Valley,Sullivan,500,"510,000"
2019,11,Southern Tier,Tioga,300,"270,000"
2019,11,Southern Tier,Tompkins,300,"310,000"
2019,11,Hudson Valley,Ulster,900,"910,000"
2019,11,Unknown Geography,Unknown,100,"230,000"
2019,11,Capital,Warren,700,"610,000"
2019,11,Capital,Washington,400,"390,000"
2019,11,Finger Lakes,Wayne,700,"690,000"
2019,11,Hudson Valley,Westchester,"4,600","5,800,000"
2019,11,Finger Lakes,Wyoming,400,"370,000"
